mode,year,month,TT_delivered,ontime
Regional trains,2023,September,0.98,0.877
Regional trains,2023,August,0.952,0.865
Regional trains,2023,July,0.949,0.875
Regional trains,2023,June,0.972,0.889
Regional trains,2023,May,0.977,0.89
Regional trains,2023,April,0.965,0.873
Regional trains,2023,March,0.964,0.857
Regional trains,2023,February,0.973,0.893
Regional trains,2023,January,0.967,0.899
Regional trains,2022,December,0.957,0.858
Regional trains,2022,November,0.953,0.9
Regional trains,2022,October,0.93,0.901
Regional trains,2022,September,0.964,0.905
Regional trains,2022,August,0.978,0.924
Regional trains,2022,July,0.958,0.907
Regional trains,2022,June,0.949,0.919
Regional trains,2022,May,0.966,0.909
Regional trains,2022,April,0.966,0.925
Regional trains,2022,March,0.957,0.906
Regional trains,2022,February,0.954,0.931
Regional trains,2022,January,0.941,0.924
