SAL_CODE21,Pax_annual,SAL_CODE21_RAW,Population,passengers_per_capita
22474,1295450,SAL22474,15174,85.373
22476,47250,SAL22476,2064,22.8924
22504,889500,SAL22504,20234,43.9607
22508,376150,SAL22508,19005,19.7922
22547,189500,SAL22547,12817,14.7851
22594,4050,SAL22594,3449,1.1743
22614,180450,SAL22614,3417,52.8095
22620,97850,SAL22620,6818,14.3517
22721,315600,SAL22721,5352,58.9686
22727,27200,SAL22727,1911,14.2334
22750,1049600,SAL22750,50027,20.9807
22756,394350,SAL22756,11729,33.6218
22757,1718450,SAL22757,8025,214.1371
22791,1389550,SAL22791,9448,147.0735
22792,315850,SAL22792,14407,21.9234
22805,586800,SAL22805,7273,80.682
22917,820600,SAL22917,15636,52.4815
