level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	3	1	6	0	261	126	47	13	-1	
5	1	3	1	6	1	261	126	47	13	94.544388	97.1%
4	1	3	1	7	0	261	151	47	13	-1	
5	1	3	1	7	1	261	151	47	13	93.595230	94.7%
4	1	3	1	8	0	261	174	47	13	-1	
5	1	3	1	8	1	261	174	47	13	93.346664	95.3%
4	1	3	1	9	0	257	199	51	13	-1	
5	1	3	1	9	1	257	199	51	13	94.742615	94.4%
4	1	3	1	10	0	261	223	47	13	-1	
5	1	3	1	10	1	261	223	47	13	94.854767	95.5%
4	1	3	1	11	0	261	248	47	13	-1	
5	1	3	1	11	1	261	248	47	13	93.597916	95.1%
4	1	3	1	12	0	261	272	47	13	-1	
5	1	3	1	12	1	261	272	47	13	94.985573	93.1%
4	1	3	1	13	0	261	296	47	13	-1	
5	1	3	1	13	1	261	296	47	13	93.848038	93.5%
4	1	3	1	14	0	261	320	47	13	-1	
5	1	3	1	14	1	261	320	47	13	94.226700	93.6%
4	1	3	1	15	0	261	345	47	13	-1	
5	1	3	1	15	1	261	345	47	13	89.469505	94.9%
4	1	3	1	16	0	261	369	47	13	-1	
5	1	3	1	16	1	261	369	47	13	91.943993	93.8%
4	1	3	1	17	0	261	394	47	13	-1	
5	1	3	1	17	1	261	394	47	13	94.769630	95.7%
4	1	3	1	18	0	261	417	47	13	-1	
5	1	3	1	18	1	261	417	47	13	94.854767	95.5%
4	1	3	1	19	0	261	442	47	13	-1	
5	1	3	1	19	1	261	442	47	13	94.769630	95.7%
4	1	3	1	20	0	261	466	47	13	-1	
5	1	3	1	20	1	261	466	47	13	93.138237	94.5%
4	1	3	1	21	0	261	491	47	13	-1	
5	1	3	1	21	1	261	491	47	13	95.054512	92.4%
4	1	3	1	22	0	257	515	51	13	-1	
5	1	3	1	22	1	257	515	51	13	94.774567	92.9%
2	1	4	0	0	0	369	5	40	523	-1	
3	1	4	1	0	0	369	5	40	523	-1	
4	1	4	1	1	0	372	5	37	13	-1	
5	1	4	1	1	1	372	5	37	13	95.882835	0.7%
4	1	4	1	2	0	372	29	37	13	-1	
5	1	4	1	2	1	372	29	37	13	95.953819	0.8%
4	1	4	1	3	0	372	53	37	13	-1	
5	1	4	1	3	1	372	53	37	13	95.953819	0.8%
4	1	4	1	4	0	373	77	36	13	-1	
5	1	4	1	4	1	373	77	36	13	94.216545	1.5%
4	1	4	1	5	0	372	102	37	13	-1	
5	1	4	1	5	1	372	102	37	13	73.956161	04%
4	1	4	1	6	0	372	126	37	13	-1	
5	1	4	1	6	1	372	126	37	13	73.956161	04%
4	1	4	1	7	0	373	151	36	13	-1	
5	1	4	1	7	1	373	151	36	13	90.940735	1.0%
4	1	4	1	8	0	372	174	37	13	-1	
5	1	4	1	8	1	372	174	37	13	95.882835	0.7%
4	1	4	1	9	0	369	199	40	13	-1	
5	1	4	1	9	1	369	199	40	13	94.562027	1.2%
4	1	4	1	10	0	372	223	37	13	-1	
5	1	4	1	10	1	372	223	37	13	95.953819	0.8%
4	1	4	1	11	0	373	248	36	13	-1	
5	1	4	1	11	1	373	248	36	13	90.940735	1.0%
4	1	4	1	12	0	373	272	36	13	-1	
5	1	4	1	12	1	373	272	36	13	93.148537	1.2%
